time/s	Ewe/V	
3.129999920929549E+002	3.9706640E+000
3.139999920676928E+002	3.9705305E+000
3.149999920424307E+002	3.9706068E+000
3.159999920171686E+002	3.9708169E+000
3.169999919919064E+002	3.9707978E+000
3.179999919666443E+002	3.9777269E+000
3.189999919413822E+002	3.9778605E+000
3.199999919161201E+002	3.9778032E+000
3.209999918908579E+002	3.9777460E+000
3.219999918655958E+002	3.9778605E+000
3.229999918403337E+002	3.9777460E+000
3.239999918150716E+002	3.9777079E+000
3.249999917898094E+002	3.9779561E+000
3.259999917645473E+002	3.9778223E+000
3.269999917392852E+002	3.9779942E+000
3.279999917140231E+002	3.9740238E+000
3.289999916887609E+002	3.9740238E+000
3.299999916634988E+002	3.9740810E+000
3.309999916382367E+002	3.9739664E+000
3.319999916129746E+002	3.9739854E+000
3.329999915877124E+002	3.9739473E+000
3.339999915624503E+002	3.9739091E+000
3.349999915371882E+002	3.9741192E+000
3.359999915119261E+002	3.9739473E+000
3.369999914866639E+002	3.9739854E+000
3.379999914614018E+002	3.9721339E+000
3.389999914361397E+002	3.9720194E+000
3.399999914108776E+002	3.9720004E+000
3.409999913856154E+002	3.9720767E+000
3.419999913603533E+002	3.9721148E+000
3.429999913350912E+002	3.9720767E+000
3.439999913098291E+002	3.9720194E+000
3.449999912845669E+002	3.9722102E+000
3.459999912593048E+002	3.9721911E+000
3.469999912340427E+002	3.9721339E+000
3.479999912087806E+002	3.4303951E+000
3.489999911835184E+002	4.1297307E+000
3.499999911582563E+002	4.1296544E+000
3.509999911329942E+002	4.1296735E+000
3.519999911077321E+002	4.1296163E+000
3.529999910824699E+002	4.1297116E+000
3.539999910572078E+002	4.1296926E+000
3.549999910319457E+002	4.1297688E+000
3.559999910066836E+002	4.1296735E+000
3.569999909814214E+002	4.1296544E+000
3.579999909561593E+002	4.1296926E+000
3.589999909308972E+002	3.9699388E+000
3.599999909056351E+002	3.9699578E+000
3.609999908803729E+002	3.9698050E+000
3.619999908551108E+002	3.9699006E+000
3.629999908298487E+002	3.9697669E+000
3.639999908045866E+002	3.9697478E+000
3.649999907793244E+002	3.9697859E+000
3.659999907540623E+002	3.9696333E+000
3.669999907288002E+002	3.9699006E+000
3.679999907035381E+002	3.9697859E+000
3.689999906782759E+002	3.9673045E+000
3.699999906530138E+002	3.9675145E+000
3.709999906277517E+002	3.9673426E+000
3.719999906024896E+002	3.9673426E+000
3.729999905772274E+002	3.9672663E+000
3.739999905519653E+002	3.9672663E+000
3.749999905267032E+002	3.9673998E+000
3.759999905014411E+002	3.9672854E+000
3.769999904761789E+002	3.9673235E+000
3.779999904509168E+002	3.9674954E+000
3.789999904256547E+002	3.9808383E+000
3.799999904003926E+002	3.9811821E+000
3.809999903751304E+002	3.9810674E+000
3.819999903498683E+002	3.9810293E+000
3.829999903246062E+002	3.9809721E+000
3.839999902993441E+002	3.9809148E+000
3.849999902740819E+002	3.9809721E+000
3.859999902488198E+002	3.9808958E+000
3.869999902235577E+002	3.9809721E+000
3.879999901982956E+002	3.9809721E+000
3.889999901730334E+002	3.9900773E+000
3.899999901477713E+002	3.9898674E+000
3.909999901225092E+002	3.9898674E+000
3.919999900972471E+002	3.9899056E+000
3.929999900719849E+002	3.9900391E+000
3.939999900467228E+002	3.9898674E+000
3.949999900214607E+002	3.9899056E+000
3.959999899961986E+002	3.9900391E+000
3.969999899709364E+002	3.9899628E+000
3.979999899456743E+002	3.9899437E+000
3.989999899204122E+002	3.5977080E+000
3.999999898951501E+002	4.0661654E+000
4.009999898698879E+002	4.0661654E+000
4.019999898446258E+002	4.0660696E+000
4.029999898193637E+002	4.0660315E+000
4.039999897941016E+002	4.0661845E+000
4.049999897688394E+002	4.0661845E+000
4.059999897435773E+002	4.0660887E+000
4.069999897183152E+002	4.0660505E+000
4.079999896930531E+002	4.0661273E+000
4.089999896677909E+002	4.0660887E+000
4.099999896425288E+002	3.9926543E+000
4.109999896172667E+002	3.9925780E+000
4.119999895920046E+002	3.9927688E+000
4.129999895667424E+002	3.9925780E+000
4.139999895414803E+002	3.9926734E+000
4.149999895162182E+002	3.9926162E+000
4.159999894909561E+002	3.9927115E+000
4.169999894656939E+002	3.9926543E+000
4.179999894404318E+002	3.9926353E+000
4.189999894151697E+002	3.9925017E+000
4.199999893899076E+002	4.2437477E+000
4.209999893646454E+002	4.2436905E+000
4.219999893393833E+002	4.2437286E+000
4.229999893141212E+002	4.2437286E+000
4.239999892888591E+002	4.2437096E+000
4.249999892635969E+002	4.2438626E+000
4.259999892383348E+002	4.2438626E+000
4.269999892130727E+002	4.2437859E+000
4.279999891878106E+002	4.2436333E+000
4.289999891625484E+002	4.2436714E+000
4.299999891372863E+002	3.9671900E+000
4.309999891120242E+002	3.9672663E+000
4.319999890867621E+002	3.9671326E+000
4.329999890614999E+002	3.9670944E+000
4.339999890362378E+002	3.9672472E+000
4.349999890109757E+002	3.9671900E+000
4.359999889857136E+002	3.9672282E+000
4.369999889604514E+002	3.9671710E+000
4.379999889351893E+002	3.9672091E+000
4.389999889099272E+002	3.9671710E+000
4.399999888846651E+002	3.9750926E+000
4.409999888594029E+002	3.9749782E+000
4.419999888341408E+002	3.9750164E+000
4.429999888088787E+002	3.9750545E+000
4.439999887836166E+002	3.9751689E+000
4.449999887583544E+002	3.9751880E+000
4.459999887330923E+002	3.9751880E+000
4.469999887078302E+002	3.9751117E+000
4.479999886825681E+002	3.9752073E+000
4.489999886573059E+002	3.9750926E+000
4.499999886320438E+002	4.1269054E+000
4.509999886067817E+002	4.1827402E+000
4.519999885815196E+002	4.1828165E+000
4.529999885562574E+002	4.1827211E+000
4.539999885309953E+002	4.1827211E+000
4.549999885057332E+002	4.1828165E+000
4.559999884804711E+002	4.1826258E+000
4.569999884552090E+002	4.1828165E+000
4.579999884299468E+002	4.1826830E+000
4.589999884046847E+002	4.1825876E+000
4.599999883794226E+002	4.1827021E+000
4.609999883541605E+002	3.9812202E+000
4.619999883288983E+002	3.9809911E+000
4.629999883036362E+002	3.9812584E+000
4.639999882783741E+002	3.9810483E+000
4.649999882531120E+002	3.9812965E+000
4.659999882278498E+002	3.9811630E+000
4.669999882025877E+002	3.9811630E+000
4.679999881773256E+002	3.9812584E+000
4.689999881520635E+002	3.9811437E+000
4.699999881268013E+002	3.9809911E+000
4.709999881015392E+002	3.9895811E+000
4.719999880762771E+002	3.9897528E+000
4.729999880510150E+002	3.9897528E+000
4.739999880257528E+002	3.9896574E+000
4.749999880004907E+002	3.9898102E+000
4.759999879752286E+002	3.9898484E+000
4.769999879499665E+002	3.9896955E+000
4.779999879247043E+002	3.9897146E+000
4.789999878994422E+002	3.9897909E+000
4.799999878741801E+002	3.9896574E+000
4.809999878489180E+002	3.9836063E+000
4.819999878236558E+002	3.9838352E+000
4.829999877983937E+002	3.9837780E+000
4.839999877731316E+002	3.9838736E+000
4.849999877478695E+002	3.9837589E+000
4.859999877226073E+002	3.9838161E+000
4.869999876973452E+002	3.9837208E+000
4.879999876720831E+002	3.9836826E+000
4.889999876468210E+002	3.9837589E+000
4.899999876215588E+002	3.9837399E+000
4.909999875962967E+002	3.8840394E+000
4.919999875710346E+002	3.8837912E+000
4.929999875457725E+002	3.8837721E+000
4.939999875205103E+002	3.8839056E+000
4.949999874952482E+002	3.8840394E+000
4.959999874699861E+002	3.8840013E+000
4.969999874447240E+002	3.8839822E+000
4.979999874194618E+002	3.8839438E+000
4.989999873941997E+002	3.8838866E+000
4.999999873689376E+002	3.8838675E+000
5.009999873436755E+002	3.6564441E+000
5.019999873184133E+002	3.9757226E+000
5.029999872931512E+002	3.9757416E+000
5.039999872678891E+002	3.9757035E+000
5.049999872426270E+002	3.9756272E+000
5.059999872173648E+002	3.9757035E+000
5.069999871921027E+002	3.9755700E+000
5.079999871668406E+002	3.9755890E+000
5.089999871415785E+002	3.9756272E+000
5.099999871163163E+002	3.9756463E+000
5.109999870910542E+002	3.9756081E+000
5.119999870657921E+002	3.9695570E+000
5.129999870405300E+002	3.9696524E+000
5.139999870152678E+002	3.9697859E+000
5.149999869900057E+002	3.9694996E+000
5.159999869647436E+002	3.9696143E+000
5.169999869394815E+002	3.9695380E+000
5.179999869142193E+002	3.9697859E+000
5.189999868889572E+002	3.9694805E+000
5.199999868636951E+002	3.9696906E+000
5.209999868384330E+002	3.9697096E+000
5.219999868131708E+002	3.9717522E+000
5.229999867879087E+002	3.9717140E+000
5.239999867626466E+002	3.9717331E+000
5.249999867373845E+002	3.9717903E+000
5.259999867121223E+002	3.9716949E+000
5.269999866868602E+002	3.9718475E+000
5.279999866615981E+002	3.9716949E+000
5.289999866363360E+002	3.9717331E+000
5.299999866110738E+002	3.9717712E+000
5.309999865858117E+002	3.9717140E+000
5.319999865605496E+002	3.9684880E+000
5.329999865352875E+002	3.9684880E+000
5.339999865100253E+002	3.9683161E+000
5.349999864847632E+002	3.9683926E+000
5.359999864595011E+002	3.9684880E+000
5.369999864342390E+002	3.9684308E+000
5.379999864089768E+002	3.9684498E+000
5.389999863837147E+002	3.9683354E+000
5.399999863584526E+002	3.9683354E+000
5.409999863331905E+002	3.9685833E+000
5.419999863079283E+002	3.8976879E+000
5.429999862826662E+002	4.2509632E+000
5.439999862574041E+002	4.2510972E+000
5.449999862321420E+002	4.2509828E+000
5.459999862068798E+002	4.2509632E+000
5.469999861816177E+002	4.2509441E+000
5.479999861563556E+002	4.2512689E+000
5.489999861310935E+002	4.2510781E+000
5.499999861058313E+002	4.2510018E+000
5.509999860805692E+002	4.2510972E+000
5.519999860553071E+002	4.2508869E+000
5.529999860300450E+002	3.9840262E+000
5.539999860047828E+002	3.9841409E+000
5.549999859795207E+002	3.9841025E+000
5.559999859542586E+002	3.9840834E+000
5.569999859289965E+002	3.9840643E+000
5.579999859037343E+002	3.9840643E+000
5.589999858784722E+002	3.9841025E+000
5.599999858532101E+002	3.9839690E+000
5.609999858279480E+002	3.9840834E+000
5.619999858026858E+002	3.9840453E+000
5.629999857774237E+002	4.2284198E+000
5.639999857521616E+002	4.2283049E+000
5.649999857268995E+002	4.2283626E+000
5.659999857016373E+002	4.2283049E+000
5.669999856763752E+002	4.2282476E+000
5.679999856511131E+002	4.2283244E+000
5.689999856258510E+002	4.2285151E+000
5.699999856005888E+002	4.2283435E+000
5.709999855753267E+002	4.2282286E+000
5.719999855500646E+002	4.2284007E+000
5.729999855248025E+002	4.0313854E+000
5.739999854995403E+002	4.0314808E+000
5.749999854742782E+002	4.0314808E+000
5.759999854490161E+002	4.0314999E+000
5.769999854237540E+002	4.0312901E+000
5.779999853984918E+002	4.0315380E+000
5.789999853732297E+002	4.0314617E+000
5.799999853479676E+002	4.0313663E+000
5.809999853227055E+002	4.0313854E+000
5.819999852974433E+002	4.0314236E+000
5.829999852721812E+002	4.1405921E+000
5.839999852469191E+002	4.1406689E+000
5.849999852216570E+002	4.1405921E+000
5.859999851963948E+002	4.1405730E+000
5.869999851711327E+002	4.1405730E+000
5.879999851458706E+002	4.1406302E+000
5.889999851206085E+002	4.1405158E+000
5.899999850953463E+002	4.1406493E+000
5.909999850700842E+002	4.1405730E+000
5.919999850448221E+002	4.1407642E+000
5.929999850195600E+002	4.2173672E+000
5.939999849942978E+002	3.9813347E+000
5.949999849690357E+002	3.9812965E+000
5.959999849437736E+002	3.9812775E+000
5.969999849185115E+002	3.9813538E+000
5.979999848932493E+002	3.9813728E+000
5.989999848679872E+002	3.9813347E+000
5.999999848427251E+002	3.9813347E+000
6.009999848174630E+002	3.9814491E+000
6.019999847922008E+002	3.9814301E+000
6.029999847669387E+002	3.9813919E+000
6.039999847416766E+002	3.9652047E+000
6.049999847164145E+002	3.9651284E+000
6.059999846911523E+002	3.9652429E+000
6.069999846658902E+002	3.9652619E+000
6.079999846406281E+002	3.9652238E+000
6.089999846153660E+002	3.9653766E+000
6.099999845901039E+002	3.9650903E+000
6.109999845648417E+002	3.9652238E+000
6.119999845395796E+002	3.9651856E+000
6.129999845143175E+002	3.9652619E+000
6.139999844890554E+002	4.0496726E+000
6.149999844637932E+002	4.0497108E+000
6.159999844385311E+002	4.0496917E+000
6.169999844132690E+002	4.0496535E+000
6.179999843880069E+002	4.0499015E+000
6.189999843627447E+002	4.0495391E+000
6.199999843374826E+002	4.0498252E+000
6.209999843122205E+002	4.0499396E+000
6.219999842869584E+002	4.0497489E+000
6.229999842616962E+002	4.0497298E+000
6.239999842364341E+002	3.9862213E+000
6.249999842111720E+002	3.9862022E+000
6.259999841859099E+002	3.9864504E+000
6.269999841606477E+002	3.9861069E+000
6.279999841353856E+002	3.9862788E+000
6.289999841101235E+002	3.9862022E+000
6.299999840848614E+002	3.9860687E+000
6.309999840595992E+002	3.9861259E+000
6.319999840343371E+002	3.9862022E+000
6.329999840090750E+002	3.9861832E+000
6.339999839838129E+002	4.1286426E+000
6.349999839585507E+002	4.1286426E+000
6.359999839332886E+002	4.1285281E+000
6.369999839080265E+002	4.1286807E+000
6.379999838827644E+002	4.1286807E+000
6.389999838575022E+002	4.1284900E+000
6.399999838322401E+002	4.1285472E+000
6.409999838069780E+002	4.1285663E+000
6.419999837817159E+002	4.1285472E+000
6.429999837564537E+002	4.1286044E+000
6.439999837311916E+002	3.7872975E+000
6.449999837059295E+002	3.9736419E+000
6.459999836806674E+002	3.9735656E+000
6.469999836554052E+002	3.9736419E+000
6.479999836301431E+002	3.9735656E+000
6.489999836048810E+002	3.9735847E+000
6.499999835796189E+002	3.9734321E+000
6.509999835543567E+002	3.9734321E+000
6.519999835290946E+002	3.9735084E+000
6.529999835038325E+002	3.9735274E+000
6.539999834785704E+002	3.9732602E+000
6.549999834533082E+002	4.0712428E+000
6.559999834280461E+002	4.0712619E+000
6.569999834027840E+002	4.0713763E+000
6.579999833775219E+002	4.0711856E+000
6.589999833522597E+002	4.0712619E+000
6.599999833269976E+002	4.0712237E+000
