freq/Hz	-Im(Z)/Ohm	Re(Z)/Ohm	
1.7232964E+005	1.1979752E+003	3.8179638E+001
1.2855367E+005	1.5991001E+003	5.3436325E+001
9.5902617E+004	2.1405996E+003	1.3132380E-001
7.1537258E+004	2.9019341E+003	1.0301729E+002
5.3369953E+004	3.7427656E+003	2.4258128E+002
3.9814063E+004	4.9847495E+003	1.7428308E+002
2.9700492E+004	6.7517388E+003	4.1637289E+002
2.2157064E+004	8.9057129E+003	6.1904346E+002
1.6525014E+004	1.1913334E+004	1.3201075E+003
1.2331135E+004	1.5933070E+004	1.7790397E+003
9.2288525E+003	2.0558256E+004	3.3270862E+003
6.9032866E+003	2.6520189E+004	6.0692686E+003
5.1200850E+003	3.4920770E+004	8.0461797E+003
3.8163364E+003	4.5655340E+004	1.6857148E+004
2.8472668E+003	5.6364590E+004	2.4979348E+004
2.1256799E+003	6.6797055E+004	4.0498805E+004
1.5855076E+003	7.5747961E+004	5.8104539E+004
1.1818910E+003	7.9452516E+004	7.7977938E+004
8.8141022E+002	7.5277797E+004	1.0221528E+005
6.5768494E+002	7.2269445E+004	1.2279968E+005
4.9078522E+002	6.1221188E+004	1.3440661E+005
3.6605426E+002	5.3815316E+004	1.4087109E+005
2.7299075E+002	4.2289109E+004	1.5030609E+005
2.0376114E+002	3.7870102E+004	1.5654295E+005
1.5199416E+002	2.8821137E+004	1.6195858E+005
1.1343907E+002	2.5787826E+004	1.5862119E+005
8.4593941E+001	2.0464053E+004	1.6143600E+005
6.3082302E+001	2.1205660E+004	1.6890734E+005
4.7063255E+001	2.6110125E+004	1.6294803E+005
3.5101093E+001	2.2255088E+004	1.7657650E+005
2.6181301E+001	2.9757742E+004	1.6768844E+005
1.9531252E+001	2.1899564E+004	1.7749236E+005
1.4575557E+001	3.6780551E+004	1.8179805E+005
1.0880919E+001	3.1574664E+004	1.8133728E+005
8.1042528E+000	4.6659961E+004	1.8599653E+005
6.0468264E+000	5.8321336E+004	1.8276355E+005
4.5106812E+000	5.7456250E+004	2.0137400E+005
3.3674569E+000	7.4136039E+004	2.0568497E+005
2.5136740E+000	1.0061794E+005	2.1471191E+005
1.8744003E+000	1.0487001E+005	2.3297619E+005
1.3970852E+000	1.3791717E+005	2.3941136E+005
1.0433360E+000	1.7427175E+005	2.5073777E+005
7.7705413E-001	2.1542309E+005	2.6314147E+005
5.7999259E-001	2.9849016E+005	2.8012869E+005
4.3258584E-001	3.4361009E+005	3.0616822E+005
3.2293734E-001	4.2526678E+005	3.4682022E+005
2.4074021E-001	5.4004950E+005	3.8165275E+005
1.7979608E-001	6.7728331E+005	4.3718250E+005
1.3415243E-001	8.5617588E+005	4.8584778E+005
9.9904113E-002	1.0661695E+006	5.8343281E+005
1.0000186E+006	1.5454897E+002	2.0925159E+000
7.4598238E+005	2.4545473E+002	1.5872256E+001
5.5648750E+005	3.3952820E+002	2.2518187E+001
4.1512953E+005	4.6066806E+002	4.0662304E+001
3.0967934E+005	6.3261292E+002	8.0767883E+001
2.3101619E+005	8.4412384E+002	1.3093993E+002
1.7232964E+005	1.1166987E+003	1.9653178E+002
1.2855367E+005	1.4473796E+003	3.2771808E+002
9.5902617E+004	1.8808003E+003	5.7462134E+002
7.1537258E+004	2.4198584E+003	8.9161578E+002
5.3369953E+004	2.9154587E+003	1.3647607E+003
3.9814063E+004	3.5249468E+003	2.0205793E+003
2.9700492E+004	3.8831379E+003	2.9224575E+003
2.2157064E+004	4.1029009E+003	4.0008064E+003
1.6525014E+004	4.1012163E+003	5.0331001E+003
1.2331135E+004	3.8728081E+003	6.0492690E+003
9.2288525E+003	3.4911899E+003	6.7732622E+003
6.9032866E+003	3.0641292E+003	7.3937676E+003
5.1200850E+003	2.8028694E+003	7.9518579E+003
3.8163364E+003	2.5976838E+003	8.2082158E+003
2.8472668E+003	2.4174106E+003	8.7420146E+003
2.1256799E+003	2.3718203E+003	8.8878438E+003
